      x      |      eta     |      t       |      Hp      |    dHp/dx    |   ddHp/ddx   |      Chi     |      d_A     |      d_L     | Sum_Dens_Params |    Omega_B   |   Omega_CDM  | Omega_Lambda |  Omega_gamma |   Omega_Nu   |   Omega_K    
         -12 |  8.74205e+22 |  8.94276e+08 |  3.44711e-15 |            0 |            0 |  4.37821e+26 |  2.69007e+21 |  7.12575e+31 |               1 |   0.00322881 |    0.0172419 |   1.0229e-17 |     0.578997 |     0.400532 |            0 
     -11.988 |  8.84713e+22 |  9.15927e+08 |  3.40637e-15 |            0 |            0 |   4.3782e+26 |  2.72257e+21 |  7.04065e+31 |               1 |   0.00326702 |    0.0174459 |  1.07298e-17 |     0.578854 |     0.400433 |            0 
     -11.976 |  8.95347e+22 |  9.38093e+08 |  3.36612e-15 |            0 |            0 |  4.37819e+26 |  2.75546e+21 |  6.95656e+31 |               1 |   0.00330568 |    0.0176523 |  1.12551e-17 |     0.578709 |     0.400333 |            0 
     -11.964 |  9.06107e+22 |  9.60789e+08 |  3.32635e-15 |            0 |            0 |  4.37818e+26 |  2.78875e+21 |  6.87348e+31 |               1 |   0.00334478 |    0.0178611 |  1.18061e-17 |     0.578563 |     0.400232 |            0 
     -11.952 |  9.16996e+22 |  9.84033e+08 |  3.28705e-15 |            0 |            0 |  4.37817e+26 |  2.82245e+21 |   6.7914e+31 |               1 |   0.00338433 |    0.0180723 |  1.23841e-17 |     0.578414 |     0.400129 |            0 
    -11.9399 |  9.28015e+22 |  1.00784e+09 |  3.24822e-15 |            0 |            0 |  4.37816e+26 |  2.85655e+21 |  6.71029e+31 |               1 |   0.00342434 |     0.018286 |  1.29903e-17 |     0.578264 |     0.400025 |            0 
    -11.9279 |  9.39165e+22 |  1.03222e+09 |  3.20986e-15 |            0 |            0 |  4.37815e+26 |  2.89106e+21 |  6.63015e+31 |               1 |   0.00346481 |    0.0185021 |  1.36261e-17 |     0.578113 |      0.39992 |            0 
    -11.9159 |   9.5045e+22 |   1.0572e+09 |  3.17195e-15 |            0 |            0 |  4.37813e+26 |  2.92599e+21 |  6.55097e+31 |               1 |   0.00350575 |    0.0187207 |   1.4293e-17 |     0.577959 |     0.399814 |            0 
    -11.9039 |  9.61869e+22 |  1.08279e+09 |   3.1345e-15 |            0 |            0 |  4.37812e+26 |  2.96134e+21 |  6.47273e+31 |               1 |   0.00354716 |    0.0189419 |  1.49925e-17 |     0.577804 |     0.399707 |            0 
    -11.8919 |  9.73425e+22 |  1.10901e+09 |   3.0975e-15 |            0 |            0 |  4.37811e+26 |  2.99712e+21 |  6.39543e+31 |               1 |   0.00358905 |    0.0191655 |  1.57261e-17 |     0.577647 |     0.399598 |            0 
